shape,color,isPost86,hex,introducedAt,retiredAt,category
10 3/4 Inch x 5 3/4 Inch Loaf Pan Baker 1.4,Sky,TRUE,#87CEEB,2024,,Bakeware
2 5/8 Inch Salt and Pepper Shaker Set,Sky,TRUE,#87CEEB,2024,,Countertop Accessories
3 1/2 Inch Sugar Packet Holder,Sky,TRUE,#87CEEB,2024,,Other
4 3/8 Inch Coaster and Mug Cover,Sky,TRUE,#87CEEB,2024,,"Mugs, Cups & Saucers"
4 5/8 Inch Rangetop Large Salt and Pepper,Sky,TRUE,#87CEEB,2024,,Countertop Accessories
7 Inch Chevron Utensil Crock,Sky,TRUE,#87CEEB,2024,,Countertop Accessories
9 5/8 Inch Medium Vase,Sky,TRUE,#87CEEB,2024,,"Pitchers, Teapots & Vases"
2 5/8 Inch Salt and Pepper Shaker Set,Linen,TRUE,#e9e0d3,2025,,Countertop Accessories
4 5/8 Inch Rangetop Large Salt and Pepper Shaker Set,Linen,TRUE,#e9e0d3,2025,,Countertop Accessories
11 5/8 Inch Medium Oval Serving Platter,Sky,TRUE,#87CEEB,2024,,Serveware
11 7/8 Inch Oblong Serving Platter,Linen,TRUE,#e9e0d3,2025,,Serveware
11 7/8 Inch Oblong Serving Platter,Sky,TRUE,#87CEEB,2024,,Serveware
12 Inch Large Rectangular Platter,Sky,TRUE,#87CEEB,2024,,Serveware
12 Inch Round Baking and Serving Platter,Sky,TRUE,#87CEEB,2024,,Serveware
13 5/8 Inch Large Oval Serving Platter,Linen,TRUE,#e9e0d3,2025,,Serveware
13 5/8 Inch Large Oval Serving Platter,Sky,TRUE,#87CEEB,2024,,Serveware
3 Inch Magnet Mini Dinner Plate,Sky,TRUE,#87CEEB,2024,,Plates
9 5/8 Inch Small Oval Serving Platter,Sky,TRUE,#87CEEB,2024,,Serveware
9 Inch Heart Shaped Plate,Sky,TRUE,#87CEEB,2024,,Plates