From,To
10 3/4 Inch x 5 3/4 Inch Loaf Pan Baker 1.4,"Pan, Loaf (10 7/8\"" x 5¾\"""
11 7/8 Inch Oblong Serving Platter,Oblong Serving Platter (Bread Tray)
12 Inch Large Rectangular Platter,"Delete - record exists ""Platter, Rectangular (12\"")"""
12 Inch Round Baking and Serving Platter,"""Tray, Round Serving (12”)”"
13 5/8 Inch Large Oval Serving Platter,"Platter, Oval Large"
2 5/8 Inch Salt and Pepper Shaker Set,Shaker Set
3 1/2 Inch Sugar Packet Holder,"""Sugar Packet Holder (Caddy)”"
4 3/8 Inch Coaster and Mug Cover,“Coaster”
4 5/8 Inch Rangetop Large Salt and Pepper,Rangetop Large Salt and Pepper Set
4 5/8 Inch Rangetop Large Salt and Pepper Shaker Set,Rangetop Large Salt and Pepper Set
9 5/8 Inch Medium Vase,"""Vase, Medium (9 5/8\"")"""
9 5/8 Inch Small Oval Serving Platter,"Platter, Oval Small"
9 Inch Heart Shaped Plate,"""Plate, Heart Shaped (9\"")"""
"""Platter, Oval (12 5/8\"")""","Platter, Oval Large"
“Shaker”,“Shaker Set”